----------------------------------------------
2016
Sample	  Expected	  Collected	  Difference
                 QCD_Pt50to80_Ele_preVFP	  5440758 	  5440758	 0
                 QCD_Pt50to80_Mu_postVFP	  21491325 	  21491325	 0
                  QCD_Pt50to80_Mu_preVFP	  19724658 	  19724658	 0
               QCD_Pt600to800_Mu_postVFP	  18165741 	  18165741	 0
                QCD_Pt600to800_Mu_preVFP	  19658498 	  19658498	 0
              QCD_Pt800to1000_Mu_postVFP	  38913226 	  38913226	 0
               QCD_Pt80to120_Ele_postVFP	  4804788 	  4804788	 0
                QCD_Pt80to120_Ele_preVFP	  4847354 	  4847354	 0
                QCD_Pt80to120_Mu_postVFP	  22005632 	  22005632	 0
                 QCD_Pt80to120_Mu_preVFP	  17569904 	  17569904	 0
                    ST_s_channel_postVFP	  6275000 	  6275000	 0
                     ST_s_channel_preVFP	  5518000 	  5518000	 0
                   ST_tW_channel_postVFP	  2491000 	  2491000	 0
                    ST_tW_channel_preVFP	  2300000 	  2300000	 0
                    ST_t_channel_postVFP	  63073000 	  63073000	 0
                     ST_t_channel_preVFP	  55961000 	  55961000	 0
                ST_tbarW_channel_postVFP	  2554000 	  2554000	 0
                 ST_tbarW_channel_preVFP	  2300000 	  2300000	 0
                 ST_tbar_channel_postVFP	  30609000 	  30609000	 0
                  ST_tbar_channel_preVFP	  31024000 	  31024000	 0
    TTbarPowheg_Dilepton_CP5down_postVFP	  18305000 	  18305000	 0
     TTbarPowheg_Dilepton_CP5down_preVFP	  21583000 	  21583000	 0
      TTbarPowheg_Dilepton_CP5up_postVFP	  19000000 	  19000000	 0
       TTbarPowheg_Dilepton_CP5up_preVFP	  16880000 	  16880000	 0
  TTbarPowheg_Dilepton_hdampdown_postVFP	  18100999 	  18100999	 0
   TTbarPowheg_Dilepton_hdampdown_preVFP	  16973000 	  16973000	 0
    TTbarPowheg_Dilepton_hdampup_postVFP	  18790000 	  18790000	 0
     TTbarPowheg_Dilepton_hdampup_preVFP	  16991000 	  16991000	 0
   TTbarPowheg_Dilepton_mtop1695_postVFP	  17011000 	  17011000	 0
    TTbarPowheg_Dilepton_mtop1695_preVFP	  16400000 	  16400000	 0
   TTbarPowheg_Dilepton_mtop1755_postVFP	  17737000 	  17737000	 0
    TTbarPowheg_Dilepton_mtop1755_preVFP	  16469000 	  16469000	 0
            TTbarPowheg_Dilepton_postVFP	  43546000 	  43546000	 0
             TTbarPowheg_Dilepton_preVFP	  37505000 	  37505000	 0
    TTbarPowheg_Hadronic_CP5down_postVFP	  44982000 	  44982000	 0
     TTbarPowheg_Hadronic_CP5down_preVFP	  39035000 	  39035000	 0
      TTbarPowheg_Hadronic_CP5up_postVFP	  41683000 	  41683000	 0
       TTbarPowheg_Hadronic_CP5up_preVFP	  39493000 	  39493000	 0
  TTbarPowheg_Hadronic_hdampdown_postVFP	  40796000 	  40796000	 0
   TTbarPowheg_Hadronic_hdampdown_preVFP	  36956000 	  36956000	 0
    TTbarPowheg_Hadronic_hdampup_postVFP	  41882000 	  41882000	 0
     TTbarPowheg_Hadronic_hdampup_preVFP	  39997000 	  39997000	 0
   TTbarPowheg_Hadronic_mtop1695_postVFP	  41386000 	  41386000	 0
    TTbarPowheg_Hadronic_mtop1695_preVFP	  39491000 	  39491000	 0
   TTbarPowheg_Hadronic_mtop1755_postVFP	  40447000 	  40447000	 0
    TTbarPowheg_Hadronic_mtop1755_preVFP	  39751000 	  39751000	 0
            TTbarPowheg_Hadronic_postVFP	  107067000 	  107067000	 0
             TTbarPowheg_Hadronic_preVFP	  97260000 	  97260000	 0
    TTbarPowheg_Semilept_CP5down_postVFP	  63874000 	  63874000	 0
     TTbarPowheg_Semilept_CP5down_preVFP	  55514300 	  55514300	 0
      TTbarPowheg_Semilept_CP5up_postVFP	  57909000 	  57909000	 0
       TTbarPowheg_Semilept_CP5up_preVFP	  46263000 	  46263000	 0
  TTbarPowheg_Semilept_hdampdown_postVFP	  60649000 	  60649000	 0
   TTbarPowheg_Semilept_hdampdown_preVFP	  56881000 	  56881000	 0
    TTbarPowheg_Semilept_hdampup_postVFP	  60762000 	  60762000	 0
     TTbarPowheg_Semilept_hdampup_preVFP	  56968000 	  56968000	 0
   TTbarPowheg_Semilept_mtop1695_postVFP	  54937999 	  54937999	 0
    TTbarPowheg_Semilept_mtop1695_preVFP	  56527000 	  56527000	 0
   TTbarPowheg_Semilept_mtop1755_postVFP	  58354000 	  58354000	 0
    TTbarPowheg_Semilept_mtop1755_preVFP	  55540000 	  55540000	 0
            TTbarPowheg_Semilept_postVFP	  144722000 	  144722000	 0
             TTbarPowheg_Semilept_preVFP	  132178000 	  132178000	 0
                          W1jets_postVFP	  42019790 	  42019790	 0
                           W1jets_preVFP	  48027537 	  48027537	 0
                          W2jets_postVFP	  27304804 	  27304804	 0
                           W2jets_preVFP	  26944649 	  26944649	 0
                          W3jets_postVFP	  17832683 	  17832683	 0
                           W3jets_preVFP	  16622984 	  16622984	 0
                          W4jets_postVFP	  4816485 	  4816485	 0
                           W4jets_preVFP	  4513048 	  4513048	 0
                              WW_postVFP	  15821000 	  15821000	 0
                               WW_preVFP	  15859000 	  15859000	 0
                              WZ_postVFP	  7584000 	  7584000	 0
                               WZ_preVFP	  7934000 	  7934000	 0
                           Wjets_postVFP	  80958227 	  80958227	 0
                            Wjets_preVFP	  75142187 	  75142187	 0
                              ZZ_postVFP	  1151000 	  1151000	 0
                               ZZ_preVFP	  1282000 	  1282000	 0
=======================================================================
