

-- Schedd: bigbird18.cern.ch : <188.185.71.83:9618?... @ 12/20/21 04:31:10
 ID         OWNER            SUBMITTED     RUN_TIME ST PRI SIZE CMD
2475906.226 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 4 9
2475906.227 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 5 9
2475906.228 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 6 9
2475906.229 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 7 9
2475906.230 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 8 9
2475906.231 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 9 9
2475906.232 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_postVFP 1 9
2475906.233 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_postVFP 2 9
2475906.234 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_postVFP 3 9
2475906.235 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_postVFP 4 9
2475906.236 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_postVFP 5 9
2475906.237 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_postVFP 6 9
2475906.238 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_postVFP 7 9
2475906.239 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_postVFP 8 9
2475906.240 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_postVFP 9 9
2475906.241 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_mtop1695_postVFP 1 7
2475906.242 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_mtop1695_postVFP 2 7
2475906.243 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_mtop1695_postVFP 3 7
2475906.244 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_mtop1695_postVFP 4 7
2475906.245 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_mtop1695_postVFP 5 7
2475906.246 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_mtop1695_postVFP 6 7
2475906.247 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_mtop1695_postVFP 7 7
2475906.248 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_CP5up_postVFP 1 11
2475906.249 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_CP5up_postVFP 2 11
2475906.250 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_CP5up_postVFP 3 11
2475906.251 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_CP5up_postVFP 4 11
2475906.252 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_CP5up_postVFP 5 11
2475906.253 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_CP5up_postVFP 6 11
2475906.254 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_CP5up_postVFP 7 11
2475906.255 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_CP5up_postVFP 8 11
2475906.256 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_CP5up_postVFP 9 11
2475906.257 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_CP5up_postVFP 10 11
2475906.258 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_CP5up_postVFP 11 11
2475906.259 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_hdampdown_preVFP 1 9
2475906.260 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_hdampdown_preVFP 2 9
2475906.261 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_hdampdown_preVFP 3 9
2475906.262 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_hdampdown_preVFP 4 9
2475906.263 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_hdampdown_preVFP 5 9
2475906.264 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_hdampdown_preVFP 6 9
2475906.265 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_hdampdown_preVFP 7 9
2475906.266 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_hdampdown_preVFP 8 9
2475906.267 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_hdampdown_preVFP 9 9
2475906.268 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 ST_s_channel_preVFP 1 2
2475906.269 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 ST_s_channel_preVFP 2 2
2475906.270 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt600to800_Mu_preVFP 1 7
2475906.271 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt600to800_Mu_preVFP 2 7
2475906.272 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt600to800_Mu_preVFP 3 7
2475906.273 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt600to800_Mu_preVFP 4 7
2475906.274 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt600to800_Mu_preVFP 5 7
2475906.275 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt600to800_Mu_preVFP 6 7
2475906.276 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt600to800_Mu_preVFP 7 7
2475906.277 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HplusM130_postVFP
2475906.278 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt120to170_Ele_postVFP
2475906.279 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_CP5up_postVFP 1 3
2475906.280 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_CP5up_postVFP 2 3
2475906.281 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_CP5up_postVFP 3 3
2475906.282 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_postVFP 1 8
2475906.283 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_postVFP 2 8
2475906.284 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_postVFP 3 8
2475906.285 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_postVFP 4 8
2475906.286 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_postVFP 5 8
2475906.287 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_postVFP 6 8
2475906.288 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_postVFP 7 8
2475906.289 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_postVFP 8 8
2475906.290 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 WW_postVFP 1 8
2475906.291 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 WW_postVFP 2 8
2475906.292 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 WW_postVFP 3 8
2475906.293 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 WW_postVFP 4 8
2475906.294 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 WW_postVFP 5 8
2475906.295 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 WW_postVFP 6 8
2475906.296 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 WW_postVFP 7 8
2475906.297 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 WW_postVFP 8 8
2475906.298 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HplusM160_preVFP
2475906.299 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HminusM155_preVFP
2475906.300 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_CP5up_preVFP 1 6
2475906.301 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_CP5up_preVFP 2 6
2475906.302 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_CP5up_preVFP 3 6
2475906.303 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_CP5up_preVFP 4 6
2475906.304 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_CP5up_preVFP 5 6
2475906.305 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_CP5up_preVFP 6 6
2475906.306 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HminusM100_preVFP
2475906.307 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt120to170_Mu_postVFP 1 6
2475906.308 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt120to170_Mu_postVFP 2 6
2475906.309 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt120to170_Mu_postVFP 3 6
2475906.310 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt120to170_Mu_postVFP 4 6
2475906.311 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt120to170_Mu_postVFP 5 6
2475906.312 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt120to170_Mu_postVFP 6 6
2475906.313 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt50to80_Mu_postVFP 1 6
2475906.314 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt50to80_Mu_postVFP 2 6
2475906.315 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt50to80_Mu_postVFP 3 6
2475906.316 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt50to80_Mu_postVFP 4 6
2475906.317 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt50to80_Mu_postVFP 5 6
2475906.318 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt50to80_Mu_postVFP 6 6
2475906.319 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 ST_tbar_channel_preVFP 1 9
2475906.320 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 ST_tbar_channel_preVFP 2 9
2475906.321 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 ST_tbar_channel_preVFP 3 9
2475906.322 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 ST_tbar_channel_preVFP 4 9
2475906.323 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 ST_tbar_channel_preVFP 5 9
2475906.324 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 ST_tbar_channel_preVFP 6 9
2475906.325 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 ST_tbar_channel_preVFP 7 9
2475906.326 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 ST_tbar_channel_preVFP 8 9
2475906.327 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 ST_tbar_channel_preVFP 9 9
2475906.328 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt120to170_Mu_preVFP 1 4
2475906.329 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt120to170_Mu_preVFP 2 4
2475906.330 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt120to170_Mu_preVFP 3 4
2475906.331 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt120to170_Mu_preVFP 4 4
2475906.332 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HplusM100_preVFP
2475906.333 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt300toInf_Ele_preVFP 1 2
2475906.334 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt300toInf_Ele_preVFP 2 2
2475906.335 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_postVFP 1 10
2475906.336 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_postVFP 2 10
2475906.337 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_postVFP 3 10
2475906.338 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_postVFP 4 10
2475906.339 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_postVFP 5 10
2475906.340 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_postVFP 6 10
2475906.341 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_postVFP 7 10
2475906.342 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_postVFP 8 10
2475906.343 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_postVFP 9 10
2475906.344 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_postVFP 10 10
2475906.345 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt30to50_Ele_preVFP 1 3
2475906.346 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt30to50_Ele_preVFP 2 3
2475906.347 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt30to50_Ele_preVFP 3 3
2475906.348 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HplusM150_postVFP
2475906.349 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_postVFP 1 7
2475906.350 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_postVFP 2 7
2475906.351 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_postVFP 3 7
2475906.352 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_postVFP 4 7
2475906.353 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_postVFP 5 7
2475906.354 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_postVFP 6 7
2475906.355 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_postVFP 7 7
2475906.356 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt170to300_Ele_preVFP
2475906.357 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_preVFP 1 10
2475906.358 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_preVFP 2 10
2475906.359 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_preVFP 3 10
2475906.360 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_preVFP 4 10
2475906.361 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_preVFP 5 10
2475906.362 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_preVFP 6 10
2475906.363 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_preVFP 7 10
2475906.364 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_preVFP 8 10
2475906.365 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_preVFP 9 10
2475906.366 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt80to120_Mu_preVFP 10 10
2475906.367 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HplusM120_preVFP
2475906.368 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HminusM100_postVFP
2475906.369 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_mtop1755_preVFP 1 13
2475906.370 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Semilept_mtop1755_preVFP 2 13
